role,id,x,y,vx,vy,threat,swarm,p
blue,11,-6.2,-5.0,0.7784130394753294,0.6277524511897817,1,1,
blue,12,-7.8,-3.6,0.9079593845004515,0.4190581774617469,3,1,
blue,13,-5.0,-6.4,0.6156440419723151,0.7880243737245634,2,1,
blue,21,7.8,-3.8,-0.8989898688372695,0.4379694232796954,2,1,
blue,22,8.8,-1.6,-0.9838699100999075,0.17888543819998318,4,1,
blue,23,6.4,-1.8,-0.962650940153899,0.27074557691828405,5,1,
blue,31,-1.6,7.4,0.21133279252753887,-0.9774141654398673,2,0,
blue,41,-8.4,2.2,0.9673722233802453,-0.2533593918376833,3,0,
blue,51,-12.2,7.0,0.8673667685592816,-0.49766945737007967,4,1,
blue,52,-13.6,8.4,0.8507979973592923,-0.5254928807219159,6,1,
blue,53,-11.2,8.8,0.7863183388224226,-0.6178215519319036,5,1,
blue,61,4.6,12.2,-0.3528038948697904,-0.9356972863937919,6,0,
red,1,2.6,0.9,0.0,0.0,,,
red,2,0.2,2.7,0.0,0.0,,,
red,3,-2.7,1.0,0.0,0.0,,,
red,4,0.6,-2.6,0.0,0.0,,,
edge,4-11,0.6,-2.6,,,,,0.9
edge,4-13,0.6,-2.6,,,,,0.9
edge,4-12,0.6,-2.6,,,,,0.7
edge,1-21,2.6,0.9,,,,,0.9
edge,1-23,2.6,0.9,,,,,0.7
edge,1-22,2.6,0.9,,,,,0.7
edge,2-31,0.2,2.7,,,,,0.9
edge,3-41,-2.7,1.0,,,,,0.7
